day	hour	min	second	price	volume
4	9	43	17	40.41	100
4	9	43	18	40.41	100
4	9	43	18	40.4	100
4	9	43	18	40.4	100
4	9	43	18	40.39	100
4	9	43	18	40.4	100
4	9	43	18	40.4	100
4	9	43	19	40.4	180
4	9	43	19	40.4	200
4	9	43	19	40.4	200
4	9	43	19	40.4	200
4	9	43	19	40.4	200
4	9	43	20	40.42	100
4	9	43	20	40.43	300
4	9	43	20	40.43	300
4	9	43	20	40.43	100
4	9	43	20	40.38	100
4	9	43	21	40.38	100
4	9	43	21	40.38	100
4	9	43	21	40.38	100
4	9	43	23	40.38	200
4	9	43	23	40.38	100
4	9	43	23	40.38	200
4	9	43	23	40.38	198
4	9	43	23	40.38	100
4	9	43	23	40.38	300
4	9	43	23	40.38	100
4	9	43	23	40.38	100
4	9	43	23	40.38	100
4	9	43	23	40.37	100
4	9	43	24	40.37	200
4	9	43	29	40.41	200
4	9	43	29	40.4	100
4	9	43	33	40.37	100
4	9	43	33	40.37	100
4	9	43	33	40.37	100
4	9	43	34	40.36	100
4	9	43	35	40.34	100
4	9	43	37	40.4	100
4	9	43	37	40.4	100
4	9	43	39	40.38	100
4	9	43	40	40.38	100
4	9	43	46	40.41	100
4	9	43	46	40.41	100
4	9	43	46	40.41	100
4	9	43	46	40.41	160
4	9	43	46	40.41	200
4	9	43	46	40.37	100
4	9	43	47	40.37	100
4	9	43	49	40.41	900
4	9	43	50	40.37	100
4	9	43	50	40.37	100
4	9	43	51	40.41	100
4	9	43	51	40.41	300
4	9	43	52	40.41	100
4	9	43	52	40.41	400
4	9	43	53	40.41	100
4	9	43	54	40.41	100
4	9	43	56	40.42	100
4	9	43	56	40.42	100
4	9	43	56	40.42	200
4	9	43	56	40.47	100
4	9	43	57	40.46	100
4	9	43	57	40.46	100
4	9	43	57	40.43	200
4	9	43	57	40.47	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.42	100
4	9	44	1	40.41	100
4	9	44	2	40.41	100
4	9	44	3	40.45	200
4	9	44	3	40.45	200
4	9	44	5	40.42	100
4	9	44	5	40.42	100
4	9	44	5	40.41	300
4	9	44	5	40.41	200
4	9	44	5	40.42	100
4	9	44	7	40.44	1000
4	9	44	9	40.4	100
4	9	44	9	40.4	100
4	9	44	9	40.4	100
4	9	44	9	40.43	100
4	9	44	9	40.44	100
4	9	44	9	40.44	400
4	9	44	9	40.44	100
4	9	44	9	40.4	200
4	9	44	9	40.44	200
4	9	44	12	40.4	300
4	9	44	13	40.4	100
4	9	44	13	40.4	100
4	9	44	13	40.4	100
4	9	44	13	40.4	100
4	9	44	13	40.4	100
4	9	44	13	40.4	100
4	9	44	13	40.41	100
4	9	44	13	40.4	100
4	9	44	13	40.44	100
4	9	44	13	40.44	200
4	9	44	13	40.44	700
4	9	44	14	40.37	100
4	9	44	17	40.37	100
4	9	44	17	40.37	100
4	9	44	19	40.37	100
4	9	44	19	40.37	100
4	9	44	21	40.38	100
4	9	44	21	40.37	100
4	9	44	21	40.37	100
4	9	44	21	40.36	100
4	9	44	21	40.37	100
4	9	44	21	40.36	100
4	9	44	22	40.36	100
4	9	44	22	40.35	300
4	9	44	22	40.35	200
4	9	44	24	40.33	100
4	9	44	24	40.38	100
4	9	44	26	40.38	100
4	9	44	26	40.38	100
4	9	44	26	40.35	200
4	9	44	27	40.38	100
4	9	44	27	40.3799	100
4	9	44	27	40.38	200
4	9	44	28	40.36	100
4	9	44	28	40.38	300
4	9	44	28	40.38	300
4	9	44	29	40.3635	140
4	9	44	31	40.36	100
4	9	44	36	40.34	100
4	9	44	36	40.33	100
4	9	44	36	40.36	100
4	9	44	36	40.33	100
4	9	44	36	40.33	100
4	9	44	36	40.36	100
4	9	44	36	40.33	200
4	9	44	36	40.32	100
4	9	44	36	40.33	100
4	9	44	36	40.32	100
4	9	44	36	40.32	100
4	9	44	37	40.32	100
4	9	44	37	40.32	100
4	9	44	37	40.32	100
4	9	44	37	40.32	400
4	9	44	37	40.31	200
4	9	44	37	40.31	100
4	9	44	37	40.29	600
4	9	44	37	40.31	600
4	9	44	38	40.37	300
4	9	44	38	40.37	100
4	9	44	38	40.37	200
4	9	44	38	40.31	100
4	9	44	38	40.3	200
4	9	44	38	40.3	100
4	9	44	38	40.3	100
4	9	44	38	40.3	100
4	9	44	38	40.31	200
4	9	44	38	40.3	100
4	9	44	38	40.29	300
4	9	44	38	40.29	200
4	9	44	38	40.3	200
4	9	44	38	40.3	100
4	9	44	38	40.31	100
4	9	44	39	40.31	100
4	9	44	42	40.3	100
4	9	44	42	40.28	200
4	9	44	44	40.29	100
4	9	44	45	40.31	100
4	9	44	45	40.31	100
4	9	44	46	40.31	100
4	9	44	46	40.3	100
4	9	44	47	40.29	100
